#Name		RA		Dec		transit duration (hrs)	depth	R
WD1145+017 	11 48 33.6	+01 28 29	0.33			0.1	17.7
734.01		10 43 18.53	-44 37 18.53	1.12			0.35	18.7
639.01		08 17 00.03	-47 39 07.03	2.82			0.18	17.7
573.01		09 29 23.26	-14 30 42.12	1.70			0.14	15.5
519.01		08 18 25.62	-19 39 46.05	1.24			0.13	17.9
1433.01		20 22 09.18	+36 03 53.22	1.73			0.13	16.1
1632.01		02 48 37.25	+62 11 21.34	4.98			0.12	16.3
1635.01		16 26 29.78	+66 08 39.21	2.74			0.10	16.2
316.01		23 39 02.2	-09 52 55.28	2.56			0.096	14.8
529.01		06 41 01.43	+16 35 19.66	4.96			0.086	17.9
472.01		06 39 28.09	-33 32 24.8	1.09			0.083	15.5
224.01		00 07 54.71	-29 58 46.57	1.88			0.077	13.5
507.01		08 06 31.1	-15 45 52.88	1.20			0.068	16.8
365.01		00 43 41.37	-38 02 35.57	3.39			0.068	14.6
263.01		02 28 25.99	-25 05 50.38	0.85			0.064	19.5
535.01		06 43 03.76	-01 17 47.2	2.92			0.063	16.1
850.01		00 39 03.82	-17 13 18.5	3.28			0.059	12.5
609.01		08 09 21.55	-39 09 52.52	1.63			0.057	11.1
450.01		05 16 01.22	-31 24 45.7	2.05			0.057	16.1
730.01		09 59 17.68	-27 23 34.14	2.22			0.055	16.7
464.01		02 08 40.75	-09 02 45.76	0.94			0.054	16.1
290.01		23 58 03.98	-49 18 03.02	4.48			0.053	14.1
749.01		12 31 07.68	-32 46 25.37	1.26			0.051	16.4
984.01		06 59 30.22	-04 48 43.81	6.13			0.051	11.1
1567.01		03 21 23.01	+52 41 31.6	4.15			0.050	11.5
860.01		02 54 11.08	-41 30 51.92	2.33			0.050	13.0
693.01		08 17 05.98	+08 14 55.75	4.03			0.050	12.5
340.01		00 46 59.36	-44 22 11.82	6.43			0.048	13.8
207.01		06 16 52.34	-58 13 47.27	4.15			0.047	14.6
1421.01		22 10 31.29	+57 16 56.74	3.72			0.047	11.7
308.01		00 45 56.33	-55 55 21.58	2.25			0.045	13.2
1270.01		19 32 07.8	+74 53 27.86	3.25			0.045	12.8
352.01		22 48 16.21	-24 50 19.27	2.78			0.045	11.9
839.01		11 07 55.17	-61 08 46.5	2.95			0.044	15.2
1070.01		19 17 54.85	-32 51 40.78	3.26			0.043	17.6
946.01		06 11 20.14	-51 27 59.84	2.13			0.043	12.2
643.01		08 02 46.54	-23 41 48.22	4.01			0.043	16.9
762.01		11 04 17.94	-47 49 17.39	1.37			0.043	16.5
384.01		00 30 38.05	-52 02 57.59	4.68			0.043	14.7
319.01		23 25 09.78	-47 56 44.15	0.97			0.042	14.4
372.01		23 59 02.18	-15 36 43.28	2.12			0.042	13.2
287.01		23 45 07.93	-17 26 57.35	2.04			0.042	13.6
307.01		23 22 18.84	-22 40 38.68	2.43			0.042	14.3
636.01		08 15 32.5	-31 33 23.48	1.84			0.042	18.0
346.01		00 41 22.68	-37 20 34.87	2.32			0.041	13.8
337.01		00 29 19.22	-50 08 24.19	3.16			0.039	13.1
311.01		23 37 20.59	-13 27 20.86	1.18			0.039	14.8
448.01		05 03 10.89	-30 23 58.06	0.58			0.038	14.7
234.01		00 10 16.52 	-26 16 56.67	1.48			0.037	17.0

